id,user_id,book_id,quantity,unit_price,timestamp,shipping,unit_price_usd,timestamp_dt,paid_price,date,year,month,day
71389,47288,18976,2,27.00$,10/01/24 10:38:08 A.M.,,27.0,2024-10-01 10:38:08.000,54.0,2024-10-01,2024,10,1
66343,47049,19403,1,€50¢50,10:14;19-Oct-2024,"4940 Arnoldo Keys, West Arnette, KS 77599",60.6,2024-10-19 10:14:00.000,60.6,2024-10-19,2024,10,19
72606,46685,19500,1,USD 45.99,"22:13:35,2025-07-02",,45.99,2025-07-02 22:13:35.000,45.99,2025-07-02,2025,7,2
68462,45336,18992,1,€ 71.00,2025-10-20 16:25:20,,85.2,2025-10-20 16:25:20.000,85.2,2025-10-20,2025,10,20
72691,45311,19388,1,52.25 $,"08:48:47 A.M.,28-August-2024",,52.25,2024-08-28 08:48:47.000,52.25,2024-08-28,2024,8,28
68274,45939,19251,3,22$75¢,"00:52:59, 2024-07-01","Suite 161 84822 Volkman Gateway, Luketon, LA 46335",75.0,2024-07-01 00:52:59.000,225.0,2024-07-01,2024,7,1
66248,45486,19550,1,35 USD,22:10:29 02/07/25,,35.0,2025-02-07 22:10:29.000,35.0,2025-02-07,2025,2,7
64098,46656,19558,1,33.00 USD,"30-Oct-2024, 15:56",,33.0,2024-10-30 15:56:00.000,33.0,2024-10-30,2024,10,30
73454,44440,18990,1,44.75USD,01:34:17 P.M. 11-November-2024,,44.75,2024-11-11 13:34:17.000,44.75,2024-11-11,2024,11,11
67871,46293,19212,1,49.0USD,"15-Jul-2024,01:16:06 A.M.",,49.0,2024-07-15 01:16:06.000,49.0,2024-07-15,2024,7,15
71951,45542,18854,2,€46¢00,"16:02:39, 2024-12-23",,55.2,2024-12-23 16:02:39.000,110.4,2024-12-23,2024,12,23
66491,45800,19187,3,€ 59.5,"03:37, 2-Apr-2025",,71.4,2025-04-02 03:37:00.000,214.2,2025-04-02,2025,4,2
69129,44820,18933,1,40.00 USD,"12:18:07,05/17/24",,40.0,2024-05-17 12:18:07.000,40.0,2024-05-17,2024,5,17
69460,46705,19544,4,40 $,"07:22, 04/25/24",,40.0,2024-04-25 07:22:00.000,160.0,2024-04-25,2024,4,25
67187,47497,19429,1,USD 69.,2025-01-20 21:14,,69.0,2025-01-20 21:14:00.000,69.0,2025-01-20,2025,1,20
64981,46213,19450,1,EUR 31.99,"19:46, 10/03/24",,38.39,2024-10-03 19:46:00.000,38.39,2024-10-03,2024,10,3
68626,44898,18911,1,USD65.50,12:23:47 A.M.;23-September-2024,,65.5,2024-09-23 00:23:47.000,65.5,2024-09-23,2024,9,23
71724,45512,18966,2,55.50 $,11/01/24 01:56:57 pm,,55.5,2024-11-01 13:56:57.000,111.0,2024-11-01,2024,11,1
65678,46448,19495,1,30.25USD,"3-OCT-2024, 03:34",,30.25,2024-10-03 03:34:00.000,30.25,2024-10-03,2024,10,3
73631,46411,19325,1,€32¢00,2024-08-09T16:02:42.627,"72116 Guy Inlet, West Dionton, WA 64694",38.4,2024-08-09 16:02:42.627,38.4,2024-08-09,2024,8,9
66496,46161,19565,1,$67.5,2024-09-08T22:25:43.253,"Apt. 906 66777 Doyle Islands, Donettatown, MD 67566",67.5,2024-09-08 22:25:43.253,67.5,2024-09-08,2024,9,8
71989,45265,19314,3,31.99 USD,05:41:37 05/11/24,"939 Colby Square, Boganbury, AL 07963",31.99,2024-05-11 05:41:37.000,95.97,2024-05-11,2024,5,11
71813,47305,19584,1,$43.,2024-08-08T07:18:18.046,"Suite 719 168 Bayer Land, Lake Jaimie, CO 89572-5698",43.0,2024-08-08 07:18:18.046,43.0,2024-08-08,2024,8,8
64706,45141,19127,1,58.00USD,"20:43:05, 03/18/25",,58.0,2025-03-18 20:43:05.000,58.0,2025-03-18,2025,3,18
64702,46531,18880,1,EUR70.,09:16:50 AM 24-December-2024,"Apt. 264 3599 Balistreri Turnpike, West Luigistad, MT 75332",84.0,2024-12-24 09:16:50.000,84.0,2024-12-24,2024,12,24
64069,46100,19296,1,27.75 €,06:51:44 P.M.;2025-04-02,,33.3,2025-04-02 18:51:44.000,33.3,2025-04-02,2025,4,2
71292,44947,19474,1,33.00USD,2-Aug-2024;18:44:05,,33.0,2024-08-02 18:44:05.000,33.0,2024-08-02,2024,8,2
63887,47049,19056,1,25.25 $,02:59:55 am 04/06/25,,25.25,2025-04-06 02:59:55.000,25.25,2025-04-06,2025,4,6
63957,45745,19026,1,20.99USD,11/11/24 10:55:32 PM,,20.99,2024-11-11 22:55:32.000,20.99,2024-11-11,2024,11,11
72487,45195,18949,1,32.75€,"01/26/25, 03:09:51",,39.3,2025-01-26 03:09:51.000,39.3,2025-01-26,2025,1,26
68824,46313,19138,2,USD 29.50,"10-Jul-2024,07:22:34 P.M.",,29.5,2024-07-10 19:22:34.000,59.0,2024-07-10,2024,7,10
69385,45952,19052,2,EUR71.99,2024-12-07T17:37:37.240,"418 Tempie Mills, Rowemouth, WA 72824-4137",86.39,2024-12-07 17:37:37.240,172.78,2024-12-07,2024,12,7
72317,45007,19180,1,$42.,03:49:29 PM;2024-09-03,,42.0,2024-09-03 15:49:29.000,42.0,2024-09-03,2024,9,3
63225,45415,19344,1,$27.75,21:35:15 2025-07-28,,27.75,2025-07-28 21:35:15.000,27.75,2025-07-28,2025,7,28
68712,45241,19480,1,$74.00,"23:03,2025-01-15",,74.0,2025-01-15 23:03:00.000,74.0,2025-01-15,2025,1,15
73890,45747,19445,1,EUR 62.50,00:34; 8-FEB-2025,,75.0,2025-02-08 00:34:00.000,75.0,2025-02-08,2025,2,8
68918,46647,19046,2,23.00 €,"2025-01-06,15:01",,27.6,2025-01-06 15:01:00.000,55.2,2025-01-06,2025,1,6
71959,46402,19041,1,USD16.25,"09/09/24, 19:32:30",,16.25,2024-09-09 19:32:30.000,16.25,2024-09-09,2024,9,9
65704,45546,19403,1,$54¢25,2025-05-19T19:56:20,,54.25,2025-05-19 19:56:20.000,54.25,2025-05-19,2025,5,19
70138,46958,19111,4,EUR 26.75,2024-09-13T17:28:31.138,,32.1,2024-09-13 17:28:31.138,128.4,2024-09-13,2024,9,13
72306,45040,19456,1,$ 31.0,"2024-08-28,16:50:42","Apt. 928 289 Oleta Course, Jannietown, AR 98094-3397",31.0,2024-08-28 16:50:42.000,31.0,2024-08-28,2024,8,28
64092,44593,19415,4,$ 13.00,6-Aug-2024 11:49,,13.0,2024-08-06 11:49:00.000,52.0,2024-08-06,2024,8,6
67909,44600,19361,5,36.99EUR,"07/31/24, 15:31:21",,44.39,2024-07-31 15:31:21.000,221.95,2024-07-31,2024,7,31
64994,47232,19124,2,56.99€,00:44 2024-05-22,,68.39,2024-05-22 00:44:00.000,136.78,2024-05-22,2024,5,22
71762,44367,19490,2,$ 51.25,09/08/24;08:44:41 A.M.,,51.25,2024-09-08 08:44:41.000,102.5,2024-09-08,2024,9,8
73787,46946,19449,1,$49.00,"2024-10-31,23:39:16",,49.0,2024-10-31 23:39:16.000,49.0,2024-10-31,2024,10,31
71212,45052,18968,4,USD66,"10:05:25 AM, 5-AUG-2024",,66.0,2024-08-05 10:05:25.000,264.0,2024-08-05,2024,8,5
67853,45503,19262,5,67.75 EUR,18:33 28-Aug-2024,,81.3,2024-08-28 18:33:00.000,406.5,2024-08-28,2024,8,28
73029,46314,18923,2,26.75USD,03/30/25;12:25:53,"Suite 277 5242 Blick Glens, New Breanaton, HI 59699-1995",26.75,2025-03-30 12:25:53.000,53.5,2025-03-30,2025,3,30
66475,46631,19275,2,53.75 €,2024-05-23T14:20:41,,64.5,2024-05-23 14:20:41.000,129.0,2024-05-23,2024,5,23
63058,44643,19061,1,$58.50,16:36;2024-12-03,"3570 Kulas Track, New Carie, WA 37270-0647",58.5,2024-12-03 16:36:00.000,58.5,2024-12-03,2024,12,3
71145,45381,19126,1,EUR 26.25,2024-11-09T09:22:28.569,,31.5,2024-11-09 09:22:28.569,31.5,2024-11-09,2024,11,9
67549,44642,18874,1,54.USD,"01:51:01 A.M.,09/03/24",,54.0,2024-09-03 01:51:01.000,54.0,2024-09-03,2024,9,3
70982,46397,19175,2,USD42.50,"11/02/24, 17:52:38",,42.5,2024-11-02 17:52:38.000,85.0,2024-11-02,2024,11,2
69688,46686,19585,1,USD 67.50,2025-01-14T18:43:22,,67.5,2025-01-14 18:43:22.000,67.5,2025-01-14,2025,1,14
67093,46519,19188,2,$ 44.00,2024-08-06;07:17:52,,44.0,2024-08-06 07:17:52.000,88.0,2024-08-06,2024,8,6
66816,46704,18993,1,65.99$,"18-December-2024, 11:23:08",,65.99,2024-12-18 11:23:08.000,65.99,2024-12-18,2024,12,18
72327,45131,19408,2,$22¢75,13-November-2024;22:48,"7640 Reichel Island, Swaniawskichester, VA 38440-8395",22.75,2024-11-13 22:48:00.000,45.5,2024-11-13,2024,11,13
73206,44765,19211,1,44.25 €,18:28 2025-04-26,"9556 Wilber Lights, North Jerrodhaven, MN 46135-2278",53.1,2025-04-26 18:28:00.000,53.1,2025-04-26,2025,4,26
71747,47604,19373,1,€51¢50,2025-02-10T02:39:59,"Apt. 490 3379 Griselda Plains, Lake Lenstad, SD 14094-0246",61.8,2025-02-10 02:39:59.000,61.8,2025-02-10,2025,2,10
70937,47539,19339,1,€43¢00,2024-07-03T22:34:56.461,"Suite 242 7639 Dania Cape, Michalebury, RI 33128",51.6,2024-07-03 22:34:56.461,51.6,2024-07-03,2024,7,3
70434,46608,19558,1,€33¢99,2024-08-08T15:46:33.401,,40.79,2024-08-08 15:46:33.401,40.79,2024-08-08,2024,8,8
73791,46548,18992,1,68.5 EUR,"04/15/25,13:12:56",,82.2,2025-04-15 13:12:56.000,82.2,2025-04-15,2025,4,15
66576,45440,19461,3,69.25$,"01:39:35 am,31-March-2025",,69.25,2025-03-31 01:39:35.000,207.75,2025-03-31,2025,3,31
72939,45726,19557,1,55.99 USD,"2024-12-09,21:27",,55.99,2024-12-09 21:27:00.000,55.99,2024-12-09,2024,12,9
69785,44614,19188,1,$43.0,04:17:28 am 01/18/25,"Suite 175 882 Collette Summit, North Averyburgh, PA 38143-4918",43.0,2025-01-18 04:17:28.000,43.0,2025-01-18,2025,1,18
68121,46884,19105,1,34.75 $,"2024-12-17, 16:18",,34.75,2024-12-17 16:18:00.000,34.75,2024-12-17,2024,12,17
69933,46026,19502,3,USD35.0,"10:30:26, 1-Nov-2024",,35.0,2024-11-01 10:30:26.000,105.0,2024-11-01,2024,11,1
73060,47063,19220,1,60.0 $,"13:20:16, 2025-02-18",,60.0,2025-02-18 13:20:16.000,60.0,2025-02-18,2025,2,18
71636,47564,18875,2,€45¢75,"6-OCT-2024, 02:41:16 am","47931 Botsford Meadow, West Nan, GA 47842-9623",54.9,2024-10-06 02:41:16.000,109.8,2024-10-06,2024,10,6
67096,44895,19553,1,$ 46.00,"06/20/24,06:48:24 A.M.","86663 Kyle Extensions, Paucekmouth, IN 36524",46.0,2024-06-20 06:48:24.000,46.0,2024-06-20,2024,6,20
63683,45800,19069,1,USD 41.5,11/24/24;08:18:57 A.M.,"Apt. 234 157 Candyce Dam, North Deidra, CA 96389-7424",41.5,2024-11-24 08:18:57.000,41.5,2024-11-24,2024,11,24
68810,45797,19286,2,USD21.99,"2025-03-27, 17:26","4588 Mohr Brook, Schroederton, ME 92095-0124",21.99,2025-03-27 17:26:00.000,43.98,2025-03-27,2025,3,27
70293,44786,18921,2,USD 46.00,"30-May-2025,17:23",,46.0,2025-05-30 17:23:00.000,92.0,2025-05-30,2025,5,30
64273,46662,19377,1,50.25€,10:45;2025-05-23,,60.3,2025-05-23 10:45:00.000,60.3,2025-05-23,2025,5,23
63762,45324,19179,1,USD55.00,"12:06:01 A.M., 23-APR-2025",,55.0,2025-04-23 00:06:01.000,55.0,2025-04-23,2025,4,23
71692,45794,18983,2,EUR 36.00,2024-08-03T20:04:37.717,,43.2,2024-08-03 20:04:37.717,86.4,2024-08-03,2024,8,3
73838,44473,19174,1,EUR29.50,"2024-11-22, 10:35:55","Suite 976 87479 Torp Mountains, North Roycebury, WV 77879-1670",35.4,2024-11-22 10:35:55.000,35.4,2024-11-22,2024,11,22
71146,46332,19544,3,39.50€,2024-10-24T11:23:05,"Apt. 840 3260 Machelle Canyon, East Ernestfort, MT 18852-8508",47.4,2024-10-24 11:23:05.000,142.2,2024-10-24,2024,10,24
62747,46959,19309,1,€70.5,"6-SEP-2024,11:26","Apt. 417 8075 Enriqueta Pines, Lucinaberg, MD 96464-3899",84.6,2024-09-06 11:26:00.000,84.6,2024-09-06,2024,9,6
68448,47358,19020,1,USD 19.0,"19-September-2024, 05:25:16",,19.0,2024-09-19 05:25:16.000,19.0,2024-09-19,2024,9,19
67051,44340,19514,1,USD16.0,"07:43:26, 2025-02-22",,16.0,2025-02-22 07:43:26.000,16.0,2025-02-22,2025,2,22
64443,45263,18999,1,51. USD,"11/09/24,19:31:34",,51.0,2024-11-09 19:31:34.000,51.0,2024-11-09,2024,11,9
72788,46138,19393,1,23.0 USD,26.11.2024 14:33:33,,23.0,2024-11-26 14:33:33.000,23.0,2024-11-26,2024,11,26
66571,44870,19407,1,21.5USD,"08/11/24,07:43:17 pm",,21.5,2024-08-11 19:43:17.000,21.5,2024-08-11,2024,8,11
63638,46383,19435,1,70.00USD,08:56:23 am 5-November-2024,,70.0,2024-11-05 08:56:23.000,70.0,2024-11-05,2024,11,5
72451,47170,19156,1,38.99$,"12/14/24, 08:36:12 AM",,38.99,2024-12-14 08:36:12.000,38.99,2024-12-14,2024,12,14
69856,44343,19102,1,EUR61.25,"20-Mar-2025,23:17:51",,73.5,2025-03-20 23:17:51.000,73.5,2025-03-20,2025,3,20
73571,44563,19495,1,$30¢00,08:15:41 09/18/24,,30.0,2024-09-18 08:15:41.000,30.0,2024-09-18,2024,9,18
70565,45575,18990,2,USD48.00,2024-12-26T13:51:04.650,,48.0,2024-12-26 13:51:04.650,96.0,2024-12-26,2024,12,26
66726,44346,19005,1,39.25 USD,24.09.2024 21:31:31,,39.25,2024-09-24 21:31:31.000,39.25,2024-09-24,2024,9,24
63079,45617,19210,1,$38,"16:51,22-June-2024",,38.0,2024-06-22 16:51:00.000,38.0,2024-06-22,2024,6,22
68403,44533,19474,2,32.99$,2024-08-13T23:12:25.714,"Apt. 300 8604 Ashlyn Wells, Effertzstad, ID 02997",32.99,2024-08-13 23:12:25.714,65.98,2024-08-13,2024,8,13
67247,47452,19383,1,62.75 USD,"03/12/25,10:08:23 pm",,62.75,2025-03-12 22:08:23.000,62.75,2025-03-12,2025,3,12
69471,46982,19192,1,61.USD,06/15/24;18:37,,61.0,2024-06-15 18:37:00.000,61.0,2024-06-15,2024,6,15
65450,47123,19336,5,48.50USD,2025-02-06;17:00,,48.5,2025-02-06 17:00:00.000,242.5,2025-02-06,2025,2,6
69839,44847,18942,1,25.50$,Mon Oct 21 11:52:31 2024,,25.5,2024-10-21 11:52:31.000,25.5,2024-10-21,2024,10,21
73299,45152,19448,2,USD55.0,"25-Oct-2024,11:43:40 P.M.",,55.0,2024-10-25 23:43:40.000,110.0,2024-10-25,2024,10,25
68273,45665,19506,2,60USD,"06:20, 02/06/25","97329 O'Conner Vista, North Sanjuana, ID 59014-1661",60.0,2025-02-06 06:20:00.000,120.0,2025-02-06,2025,2,6
73968,45506,19173,1,63.5EUR,"14:37,2025-02-17","657 Jenny Squares, Rolandton, AR 78477",76.2,2025-02-17 14:37:00.000,76.2,2025-02-17,2025,2,17
68693,44663,19143,1,$27.5,"09:35, 09/16/24",,27.5,2024-09-16 09:35:00.000,27.5,2024-09-16,2024,9,16
63129,47428,19577,1,USD70.50,01/29/25;17:37,,70.5,2025-01-29 17:37:00.000,70.5,2025-01-29,2025,1,29
72876,46100,19112,3,EUR16.5,05.01.2025 14:40:40,,19.8,2025-05-01 14:40:40.000,59.4,2025-05-01,2025,5,1
66154,45312,19361,1,EUR 37,2024-07-18T02:33:32,,44.4,2024-07-18 02:33:32.000,44.4,2024-07-18,2024,7,18
73023,44549,19153,4,$ 57.99,"10-May-2025,06:27:08 pm",,57.99,2025-05-10 18:27:08.000,231.96,2025-05-10,2025,5,10
69494,45664,19126,2,30.50EUR,2025-02-07T19:28:18.677,,36.6,2025-02-07 19:28:18.677,73.2,2025-02-07,2025,2,7
68222,45222,19512,1,45.5 €,23-Aug-2024 00:50,,54.6,2024-08-23 00:50:00.000,54.6,2024-08-23,2024,8,23
71380,46657,19510,1,17.00$,21:10:24 04/14/25,,17.0,2025-04-14 21:10:24.000,17.0,2025-04-14,2025,4,14
66638,45958,19323,1,$ 43.5,08/21/24;08:45:14 P.M.,"Suite 952 502 Homer Track, Carlenebury, IA 75313",43.5,2024-08-21 20:45:14.000,43.5,2024-08-21,2024,8,21
68844,46678,19215,1,USD20.99,09/30/24 10:16:28 pm,"Suite 372 2685 Casper Trail, Port Bettina, OR 68920",20.99,2024-09-30 22:16:28.000,20.99,2024-09-30,2024,9,30
73074,46137,19458,1,56.25 $,2025-10-05T12:50:56,,56.25,2025-10-05 12:50:56.000,56.25,2025-10-05,2025,10,5
71172,45094,19237,4,USD68.0,12-May-2025 12:11:02,,68.0,2025-05-12 12:11:02.000,272.0,2025-05-12,2025,5,12
64598,47564,19191,2,USD27.50,"09/09/24,06:20:31 pm",,27.5,2024-09-09 18:20:31.000,55.0,2024-09-09,2024,9,9
70881,45409,19152,1,EUR28.5,"09:40,11-Aug-2025","6207 Gil Wells, New Ottoville, ME 69653-6209",34.2,2025-08-11 09:40:00.000,34.2,2025-08-11,2025,8,11
67892,45976,19232,1,31.99EUR,"12/25/24,01:12:33 pm",,38.39,2024-12-25 13:12:33.000,38.39,2024-12-25,2024,12,25
68034,46667,19012,2,42.5$,2024-07-07;03:15:22,"Apt. 279 98511 Cronin Center, Reynafort, NV 66956",42.5,2024-07-07 03:15:22.000,85.0,2024-07-07,2024,7,7
69319,44617,19345,1,USD 61.00,"2024-08-08,21:49:06",,61.0,2024-08-08 21:49:06.000,61.0,2024-08-08,2024,8,8
67872,45903,18868,1,$25.75,"2024-11-19,10:19",,25.75,2024-11-19 10:19:00.000,25.75,2024-11-19,2024,11,19
67619,44944,19171,1,43.5 $,00:32 26-Dec-2024,,43.5,2024-12-26 00:32:00.000,43.5,2024-12-26,2024,12,26
73472,46747,19421,1,23.0USD,20:49;29-October-2024,"Apt. 764 37440 Billie Station, North Liseview, PA 93331-5412",23.0,2024-10-29 20:49:00.000,23.0,2024-10-29,2024,10,29
68798,44414,19011,1,55.75 $,20:14:27 2025-05-23,,55.75,2025-05-23 20:14:27.000,55.75,2025-05-23,2025,5,23
